timestamp,none:startupDurationMs,splunk-otel:startupDurationMs,profiler:startupDurationMs,none:minHeapUsed,splunk-otel:minHeapUsed,profiler:minHeapUsed,none:maxHeapUsed,splunk-otel:maxHeapUsed,profiler:maxHeapUsed,none:totalAllocatedMB,splunk-otel:totalAllocatedMB,profiler:totalAllocatedMB,none:totalGCTime,splunk-otel:totalGCTime,profiler:totalGCTime,none:maxThreadContextSwitchRate,splunk-otel:maxThreadContextSwitchRate,profiler:maxThreadContextSwitchRate,none:iterationAvg,splunk-otel:iterationAvg,profiler:iterationAvg,none:iterationP95,splunk-otel:iterationP95,profiler:iterationP95,none:requestAvg,splunk-otel:requestAvg,profiler:requestAvg,none:requestP95,splunk-otel:requestP95,profiler:requestP95,none:netReadAvg,splunk-otel:netReadAvg,profiler:netReadAvg,none:netWriteAvg,splunk-otel:netWriteAvg,profiler:netWriteAvg,none:peakThreadCount,splunk-otel:peakThreadCount,profiler:peakThreadCount,none:averageCpuUser,splunk-otel:averageCpuUser,profiler:averageCpuUser,none:maxCpuUser,splunk-otel:maxCpuUser,profiler:maxCpuUser,none:averageCpuSystem,splunk-otel:averageCpuSystem,profiler:averageCpuSystem,none:maxCpuSystem,splunk-otel:maxCpuSystem,profiler:maxCpuSystem,none:averageMachineCpuTotal,splunk-otel:averageMachineCpuTotal,profiler:averageMachineCpuTotal,none:runDurationMs,splunk-otel:runDurationMs,profiler:runDurationMs,none:gcPauseMs,splunk-otel:gcPauseMs,profiler:gcPauseMs,none:throughputAvg,splunk-otel:throughputAvg,profiler:throughputAvg
1645635300,21312,22712,22878,87365088,110565888,120575120,394388696,390070264,613042272,58940.98385620117,130351.13342285156,729588.6726074219,2902111778,3584139070,7097648037,32710.805,53622.9,65650.98,605.3075694162329,629.4516673941216,693.7254689468241,700.5471228499999,801.72675935,930.4435136999999,11.156658581189602,23.645123960777887,37.286925564842875,44.329418849999975,94.28340229999986,141.85780414999996,9694837,9707250,8897410,13150734,51810091,51801068,93,102,107,0.33175015,0.43627802,0.48964283,0.562341,0.5594059,0.58495146,0.16765723,0.21881981,0.24946447,0.21515892,0.27088606,0.30024815,0.7236549,0.8827192,0.9661493,175684,182628,200786,2971,3649,7938,891.2338669514485,857.1426429292252,777.6753858625204
1645636153,14763,22757,22864,92790952,111996760,130884304,378521816,399186432,652299480,59009.43354797363,131806.18018341064,687875.5570602417,3082370997,3640195894,6363428992,36941.54,51969.85,58625.023,604.4978660277644,623.9389795051744,672.0420640029429,695.1527031999999,785.3581090499999,899.4924588,11.153092650928173,22.545298258575087,33.83648446995426,44.617531149999856,88.89207124999996,131.0309036499999,9736936,9742311,9125460,13222432,52147828,52904604,87,94,107,0.32524636,0.42538807,0.4769205,0.5743073,0.573201,0.5945946,0.17279924,0.21778661,0.25213486,0.225,0.2684729,0.29950494,0.72366655,0.86908406,0.9555532,174803,180681,194583,3178,3723,7058,892.4342510131751,864.7196530583975,802.8883469579422
1645637013,14969,22688,22714,92069200,106990592,121634816,560463872,389168640,708410368,60126.72129058838,133847.59874725342,676238.2197189331,3194133649,3456687095,6734519305,37320.344,52068.227,56788.086,607.169946175646,631.7759782037642,671.7785163997659,714.8637560999999,798.38322145,898.0912992499999,11.585193094973931,24.028782365156747,33.36597333553561,46.52262729999998,96.11583929999992,131.2740103499998,9777861,9560010,9106900,13281296,51066740,52904383,85,98,106,0.33411768,0.43654194,0.46808043,0.5588235,0.5580247,0.5790754,0.17121394,0.21894158,0.25437436,0.21234567,0.2682927,0.29336736,0.7307065,0.8853562,0.9496579,175713,182668,193798,3261,3523,7077,888.4620726744189,854.0837134666451,803.1925676825169
1645637882,14881,22790,23605,88819952,114671760,119216128,463311872,395452416,599082496,60287.94007873535,174790.29384613037,728887.3528671265,2997956383,3580097008,6538302027,40908.754,52212.227,62720.22,608.4341805395277,633.5019060495287,684.2076989901183,720.9055818499999,805.3585145,913.0039453999999,11.383765162156857,24.21931671823514,35.91964248060104,45.02581264999999,96.94577694999994,137.4572259499999,9711187,9484885,8958307,13185218,50664456,52054278,89,108,102,0.31913015,0.4311744,0.47382507,0.57323235,0.5575,0.6080402,0.16981493,0.21606314,0.25132778,0.22979797,0.26894864,0.30403802,0.7164374,0.8740129,0.95050186,176716,183643,197609,3063,3677,7303,886.8682241824555,851.5402816351473,788.7685629744901
1645638744,14874,22696,22941,88645920,110217776,122912568,393781088,394228736,589355008,60838.874366760254,133885.73667907715,712759.2056274414,2953570685,3563814092,7175505942,39636.918,48517.48,61559.4,606.8863860284687,629.2576276283556,690.2955939391771,721.4878524499998,797.4739013,931.4703029,11.53156671025483,22.394477590039415,37.17370659459438,45.80814179999997,90.07123949999993,142.31533069999992,9683864,9598674,8915910,13149026,51142840,51655644,89,101,102,0.3212398,0.41103652,0.48442486,0.5785536,0.56926954,0.56354916,0.16930932,0.21549186,0.2521615,0.22,0.26108375,0.30788177,0.71566725,0.85165626,0.9633922,175724,181773,199619,3027,3652,7764,888.8900910142942,857.3620205759415,781.4823780668307
1645639607,14899,21845,23602,92194080,108417024,119537664,328204288,387351040,598130176,56959.869636535645,135014.21271514893,717316.3373184204,2489265132,3461965672,6943771206,40231.75,50355.26,67867.31,606.2007283923499,629.5430331130605,690.9849584000034,718.7569568,799.8918842499996,934.1299528499997,11.651993330640668,22.99105096896103,37.06812127291549,46.495545899999954,93.09560074999999,140.57836624999993,9727248,9658284,8912673,13197996,51510305,51820392,94,97,104,0.32814276,0.4266027,0.48045158,0.56079406,0.57106596,0.5660848,0.17299967,0.22039697,0.25436103,0.23716381,0.2693267,0.3073048,0.72449607,0.87361985,0.9602039,175683,181885,199654,2570,3542,7899,890.0286966247161,857.1038280629424,780.7189877575278
1645640475,14946,22816,22841,90587392,113435392,118112864,647348736,388807680,652908328,57494.53929901123,174946.5956878662,726459.1647949219,3468762785,3615103716,6840304313,36703.027,52725.6,65282.48,604.6386664297643,632.2639592628224,689.6768541751812,708.4563766999997,805.99284955,927.7228795999997,11.610819389326606,24.922701704281195,36.62187019990155,46.087647099999884,99.37062469999965,139.0641242499993,9738242,9619489,8917625,13217007,51357753,51887167,92,105,105,0.3245659,0.44304952,0.47823772,0.56423175,0.56281406,0.56171286,0.17034058,0.21797055,0.25125077,0.21621622,0.26781327,0.30243903,0.71804345,0.8890507,0.9555017,174809,182630,199636,3545,3713,7773,892.2713189724371,853.465763987541,782.1869456563202
1645641342,14849,22711,22861,88887488,112366464,119486048,496996240,398455808,652840960,88313.78252410889,177698.34481811523,716488.4989395142,3067077234,3637381394,6785012955,37097.23,49889.332,61324.816,605.762205869764,634.1180655034087,700.7621146705907,707.84865755,810.1248299999999,957.2200111999999,11.516346280378928,24.830159910372224,38.81311463330701,47.290797349999934,99.44443754999983,144.97668634999985,9788203,9645634,8761276,13257908,51511373,51125744,112,95,102,0.3219789,0.43629396,0.48354504,0.5714286,0.57212716,0.55778897,0.16947982,0.21933682,0.25183815,0.21772152,0.26894864,0.29594272,0.7178124,0.8833926,0.96399033,175743,183652,202570,3128,3738,7358,890.7115631043902,850.74312247271,770.0412946547688
1645642200,13929,22805,22922,94041944,112023552,127677440,328000160,411041792,645228032,60505.492515563965,128630.17476654053,712276.1538238525,2501707435,3462109925,7237181810,39521.582,44699.25,58421.375,605.3216035460033,626.5517375388226,689.9341972680003,701.0338409,788.41044285,925.6865624000001,11.437211209058878,23.09183209598725,36.55150912960145,46.29673659999995,91.42390449999982,141.4850697,9719272,9751542,8913533,13189058,52111193,51844726,93,95,103,0.3264361,0.42895374,0.47914279,0.5793451,0.5575,0.5902439,0.16811378,0.21799223,0.2533913,0.22857143,0.26262626,0.30900243,0.7224104,0.8769965,0.9588304,175696,181607,199661,2569,3528,8063,891.3465321566115,861.0425617400363,782.0594508035327
1645643061,14772,22936,22857,89379880,103752704,121604608,583204352,397197312,678428672,59796.487159729004,134405.24404144287,723295.8021850586,3107711082,3202623224,6838247317,35535.918,51776.89,58986.184,604.7880252984702,623.8878638542326,688.4469998104726,705.0560796,786.1644932,925.2644017499999,11.5275885201371,22.75742692289554,36.72610062028131,46.93566404999994,90.96152314999979,139.21394954999997,9737338,9747098,9020140,13219053,52027726,52302212,91,97,106,0.3273807,0.42089468,0.47297075,0.56345177,0.5440806,0.5606695,0.17387809,0.21990296,0.25434864,0.25757575,0.2783251,0.31034482,0.7235926,0.8695677,0.9571513,174930,180686,198629,3183,3269,7157,891.9721089336867,864.7738324011781,783.587772332795
